Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,127.239998,127.699997,124.239998,127.43,127.43,1901800
12/4/2018,126.269997,129.279999,123.480003,123.690002,123.690002,1517800
12/6/2018,120.279999,128.199997,119.379997,127.970001,127.970001,1164400
12/7/2018,127.110001,128.630005,121.82,123.43,123.43,800200
12/10/2018,122.849998,128.300003,122.849998,127.129997,127.129997,742800
12/11/2018,129.399994,130.130005,126.290001,127.410004,127.410004,985000
12/12/2018,129.5,131.820007,128.789993,128.830002,128.830002,843400
12/13/2018,129.970001,131.240005,128.399994,130.839996,130.839996,718000
12/14/2018,129.809998,131.050003,127.68,128.880005,128.880005,651500
12/17/2018,127.529999,127.879997,119.25,120.059998,120.059998,1220700
12/18/2018,121.389999,123.559998,120.360001,121.589996,121.589996,772100
12/19/2018,122.300003,126.32,119.75,121.949997,121.949997,1386300
12/20/2018,120.75,122.800003,113.739998,119.290001,119.290001,1738000
12/21/2018,119.870003,120.019997,111.32,112.279999,112.279999,1377100
12/24/2018,110.559998,113.989998,110,110.260002,110.260002,480500
12/26/2018,110.889999,118.919998,110.889999,118.800003,118.800003,841300
12/27/2018,116.57,119.910004,115.18,119.900002,119.900002,656000
12/28/2018,120.529999,121.529999,116.779999,118.260002,118.260002,758100
12/31/2018,119.699997,120.699997,118.529999,120,120,674800
1/2/2019,117.849998,118.720001,114.809998,118.599998,118.599998,760600
1/3/2019,116.540001,118.949997,115.010002,115.720001,115.720001,1016900
1/4/2019,117.779999,125.32,116.800003,124.830002,124.830002,1499700
1/7/2019,125.330002,128.169998,123.599998,123.970001,123.970001,1659500
1/8/2019,125.860001,126.989998,121.900002,123.989998,123.989998,1277800
1/9/2019,124.709999,125.389999,122.639999,122.910004,122.910004,1448600
1/10/2019,121.629997,123.739998,120.800003,121.699997,121.699997,1483200
1/11/2019,121,121.080002,118.669998,119.610001,119.610001,1099100
1/14/2019,118.160004,119.419998,117.5,117.510002,117.510002,803000
1/15/2019,118.389999,122.669998,118.07,122.309998,122.309998,838400
1/16/2019,123.849998,124.099998,116.730003,117.879997,117.879997,1239600
1/17/2019,118.300003,123,118.010002,121.279999,121.279999,889900
1/18/2019,122.75,124.629997,121.400002,123.68,123.68,1258000
1/22/2019,122.440002,123.730003,118.839996,119.860001,119.860001,1313600
1/23/2019,121.260002,124.099998,120.459999,121.139999,121.139999,1339700
1/24/2019,121.769997,123.760002,120.919998,121.760002,121.760002,1455200
1/25/2019,123.099998,129.880005,123.099998,128.960007,128.960007,1683200
1/28/2019,127.25,128.119995,125.550003,125.959999,125.959999,972500
1/29/2019,126.519997,127.279999,123.849998,124.660004,124.660004,720500
1/30/2019,126.089996,128.729996,125.629997,128.070007,128.070007,1177200
1/31/2019,124.239998,131.729996,123.029999,127.839996,127.839996,1991300
2/1/2019,128.059998,130.539993,126.32,130.429993,130.429993,1048000
2/4/2019,130.75,133.630005,130.75,132.070007,132.070007,1562600
2/5/2019,132.410004,133.740005,131.369995,132.960007,132.960007,1385200
2/6/2019,128,128,121.139999,123.980003,123.980003,3420100
2/7/2019,123.099998,123.949997,119.809998,121.540001,121.540001,1334300
2/8/2019,120.489998,122.370003,118.690002,122.239998,122.239998,1414400
2/11/2019,122.800003,123.57,120.370003,120.919998,120.919998,1902100
2/12/2019,121.75,126.169998,121.5,125.779999,125.779999,2335000
2/13/2019,126.129997,127.699997,123.360001,126.169998,126.169998,1583800
2/14/2019,125.580002,130.449997,124.779999,130.020004,130.020004,1479700
2/15/2019,130.399994,130.559998,127.5,129.339996,129.339996,895500
2/19/2019,129.270004,129.710007,124.5,126.970001,126.970001,1797500
2/20/2019,126.669998,128.529999,125.260002,127.040001,127.040001,1716000
2/21/2019,126.589996,131.119995,126.589996,130.399994,130.399994,1354800
2/22/2019,130.660004,133.139999,130.529999,132.869995,132.869995,1040300
2/25/2019,133.740005,134.970001,133.080002,134.389999,134.389999,1261100
2/26/2019,133.949997,134.5,129.940002,129.979996,129.979996,1643000
2/27/2019,129.199997,132.350006,129.009995,131.160004,131.160004,1008500
2/28/2019,130.610001,132.460007,129.399994,131.899994,131.899994,3146000
3/1/2019,133.309998,133.5,129.699997,132.470001,132.470001,1032700
3/4/2019,133.050003,133.860001,123.849998,125.18,125.18,2374500
3/5/2019,124.57,125,121.260002,124.5,124.5,1063000
3/6/2019,123.980003,125.589996,122.010002,123.099998,123.099998,523200
3/7/2019,122.809998,125.620003,121.900002,123.610001,123.610001,835200
3/8/2019,121.260002,124.800003,120.120003,124.099998,124.099998,612100
3/11/2019,124.580002,127.18,124.580002,127.059998,127.059998,502900
3/12/2019,127.050003,129.929993,126.290001,128.5,128.5,813700
3/13/2019,129.279999,131.470001,128.5,129.770004,129.770004,941600
3/14/2019,129,132.050003,127.559998,130.440002,130.440002,583500
3/15/2019,130.440002,131.539993,129.960007,130.479996,130.479996,569700
3/18/2019,130.899994,132.309998,129.949997,132.070007,132.070007,766000
3/19/2019,133,133.880005,130.850006,133.520004,133.520004,582900
3/20/2019,133.5,134.679993,131.949997,132.740005,132.740005,567800
3/21/2019,132.630005,136.919998,132.619995,136.639999,136.639999,661600
3/22/2019,135.660004,136.309998,127.699997,127.849998,127.849998,1578000
3/25/2019,126.900002,127.879997,124.300003,126.160004,126.160004,1001800
3/26/2019,127.860001,129.059998,125.849998,127.139999,127.139999,575200
3/27/2019,127.25,127.949997,120.760002,122.800003,122.800003,1006900
3/28/2019,123.68,125.199997,122.019997,124.309998,124.309998,665900
3/29/2019,126.019997,127.339996,124.830002,127.279999,127.279999,706600
4/1/2019,129.110001,129.610001,126.230003,129.429993,129.429993,838600
4/2/2019,129.139999,129.690002,127.5,129.5,129.5,589000
4/3/2019,130.350006,131.990005,129.410004,129.919998,129.919998,735400
4/4/2019,130.570007,130.570007,121.029999,123.610001,123.610001,1435000
4/5/2019,124,125.639999,123.339996,123.989998,123.989998,1040000
4/8/2019,123.690002,124.059998,120.269997,123.580002,123.580002,825500
4/9/2019,122.440002,124.75,122.440002,123.239998,123.239998,473200
4/10/2019,123.419998,126.730003,123.010002,126.510002,126.510002,642700
4/11/2019,127.349998,127.349998,125.059998,125.410004,125.410004,616000
4/12/2019,126.050003,126.360001,122.919998,124,124,1150600
